ell,L_over_M,resolution,observer,kappa_c_U,gamma_eff_over_kappa_c,kappa_U_transition
2,80.0,4096,r/M=4,0.7310786598371546,7.991434662074751,nan
2,80.0,4096,r/M=4,0.7316876802868465,7.991460140567083,nan
2,80.0,4096,r/M=4,0.7322967007365383,7.9915754741134455,nan
2,80.0,4096,r/M=4,0.7329057211862302,7.991778611262668,nan
2,80.0,4096,r/M=4,0.733514741635922,7.992067173381888,nan
2,80.0,4096,r/M=4,0.7341237620856139,7.992438435077614,nan
2,80.0,4096,r/M=4,0.7347327825353058,7.99288930674776,nan
2,80.0,4096,r/M=4,0.7353418029849976,7.9934163197360055,nan
2,80.0,4096,r/M=4,0.7359508234346895,7.994015614730731,nan
2,80.0,4096,r/M=4,0.7365598438843813,7.994682933955149,nan
2,80.0,4096,r/M=4,0.7371688643340732,7.99541361757504,nan
2,80.0,4096,r/M=4,0.7377778847837652,7.9962026046799455,nan
2,80.0,4096,r/M=4,0.738386905233457,7.997044439134739,nan
2,80.0,4096,r/M=4,0.7389959256831489,7.997933280524418,nan
2,80.0,4096,r/M=4,0.7396049461328407,7.998862920159446,nan
2,80.0,4096,r/M=4,0.7402139665825326,7.999826802104896,nan
2,80.0,4096,r/M=4,0.7408229870322245,8.000818049123717,nan
2,80.0,4096,r/M=4,0.7414320074819163,8.00182949312755,nan
2,80.0,4096,r/M=4,0.7420410279316082,8.002853709757062,nan
2,80.0,4096,r/M=4,0.7426500483813,8.003883056669459,nan
2,80.0,4096,r/M=4,0.7432590688309919,8.004909714853005,nan
2,80.0,4096,r/M=4,0.7438680892806838,8.005925732335598,nan
2,80.0,4096,r/M=4,0.7444771097303756,8.006923069795647,nan
2,80.0,4096,r/M=4,0.7450861301800675,8.007893647098145,nan
2,80.0,4096,r/M=4,0.7456951506297593,8.008829390273501,nan
2,80.0,4096,r/M=4,0.7463041710794512,8.009722278268274,nan
2,80.0,4096,r/M=4,0.7469131915291432,8.010564388672732,nan
2,80.0,4096,r/M=4,0.7475222119788351,8.01134794199177,nan
2,80.0,4096,r/M=4,0.748131232428527,8.01206534393071,nan
2,80.0,4096,r/M=4,0.7487402528782188,8.012709225154591,nan
2,80.0,4096,r/M=4,0.7493492733279107,8.013272478183833,nan
2,80.0,4096,r/M=4,0.7499582937776025,8.01374829118704,nan
2,80.0,4096,r/M=4,0.7505673142272944,8.014130178364148,nan
2,80.0,4096,r/M=4,0.7511763346769862,8.014412006834135,nan
2,80.0,4096,r/M=4,0.7517853551266781,8.014588019943305,nan
2,80.0,4096,r/M=4,0.75239437557637,8.014652856924153,nan
2,80.0,4096,r/M=4,0.7530033960260618,8.01460156906403,nan
2,80.0,4096,r/M=4,0.7536124164757537,8.014429632411662,nan
2,80.0,4096,r/M=4,0.7542214369254455,8.01413295721806,nan
2,80.0,4096,r/M=4,0.7548304573751374,8.013707894186517,nan
2,80.0,4096,r/M=4,0.7554394778248293,8.01315123789979,nan
2,80.0,4096,r/M=4,0.7560484982745211,8.01246022753586,nan
2,80.0,4096,r/M=4,0.756657518724213,8.01163254509864,nan
2,80.0,4096,r/M=4,0.7572665391739049,8.010666311563797,nan
2,80.0,4096,r/M=4,0.7578755596235968,8.00956008096533,nan
2,80.0,4096,r/M=4,0.7584845800732887,8.008312832914708,nan
2,80.0,4096,r/M=4,0.7590936005229805,8.006923963525725,nan
2,80.0,4096,r/M=4,0.7597026209726724,8.005393275200046,nan
2,80.0,4096,r/M=4,0.7603116414223642,8.0037209654555,nan
2,80.0,4096,r/M=4,0.7609206618720561,8.001907614782512,nan
2,80.0,4096,r/M=4,0.761529682321748,7.999954174015178,nan
2,80.0,4096,r/M=4,0.7621387027714398,7.997861951230999,nan
2,80.0,4096,r/M=4,0.7627477232211317,7.995632598326281,nan
2,80.0,4096,r/M=4,0.7633567436708235,7.993268097438684,nan
2,80.0,4096,r/M=4,0.7639657641205154,7.990770747381451,nan
2,80.0,4096,r/M=4,0.7645747845702073,7.988143150113795,nan
2,80.0,4096,r/M=4,0.7651838050198991,7.985388197367627,nan
2,80.0,4096,r/M=4,0.765792825469591,7.982509057593958,nan
2,80.0,4096,r/M=4,0.7664018459192828,7.9795091631852335,nan
2,80.0,4096,r/M=4,0.7670108663689748,7.97639219799749,nan
2,80.0,4096,r/M=4,0.7676198868186667,7.97316208548447,nan
2,80.0,4096,r/M=4,0.7682289072683585,7.969822977157801,nan
2,80.0,4096,r/M=4,0.7688379277180504,7.9663792414707135,nan
2,80.0,4096,r/M=4,0.7694469481677422,7.962835453384255,nan
2,80.0,4096,r/M=4,0.7700559686174341,7.959196384371028,nan
2,80.0,4096,r/M=4,0.770664989067126,7.955466992906603,nan
2,80.0,4096,r/M=4,0.7712740095168178,7.951652415539615,nan
2,80.0,4096,r/M=4,0.7718830299665097,7.9477579585428755,nan
2,80.0,4096,r/M=4,0.7724920504162015,7.943789090005495,nan
2,80.0,4096,r/M=4,0.7731010708658934,7.9397514324745195,nan
2,80.0,4096,r/M=4,0.7737100913155853,7.93565075613442,nan
2,80.0,4096,r/M=4,0.7743191117652771,7.931492972424085,nan
2,80.0,4096,r/M=4,0.774928132214969,7.927284128206834,nan
2,80.0,4096,r/M=4,0.7755371526646608,7.923030400310275,nan
2,80.0,4096,r/M=4,0.7761461731143527,7.918738090544502,nan
2,80.0,4096,r/M=4,0.7767551935640447,7.914413621165975,nan
2,80.0,4096,r/M=4,0.7773642140137365,7.910063530645909,nan
2,80.0,4096,r/M=4,0.7779732344634284,7.905694469904173,nan
2,80.0,4096,r/M=4,0.7785822549131202,7.901313198794031,nan
2,80.0,4096,r/M=4,0.7791912753628121,7.896926582904221,nan
2,80.0,4096,r/M=4,0.779800295812504,7.8925415906912155,nan
2,80.0,4096,r/M=4,0.7804093162621958,7.888165290794649,nan
2,80.0,4096,r/M=4,0.7810183367118877,7.883804849537083,nan
2,80.0,4096,r/M=4,0.7816273571615795,7.879467528637282,nan
2,80.0,4096,r/M=4,0.7822363776112714,7.875160683015652,nan
2,80.0,4096,r/M=4,0.7828453980609632,7.870891758639351,nan
2,80.0,4096,r/M=4,0.7834544185106551,7.866668290440902,nan
2,80.0,4096,r/M=4,0.784063438960347,7.8624979001318,nan
2,80.0,4096,r/M=4,0.7846724594100388,7.858388293944951,nan
2,80.0,4096,r/M=4,0.7852814798597307,7.854347260281445,nan
2,80.0,4096,r/M=4,0.7858905003094225,7.850382666939648,nan
2,80.0,4096,r/M=4,0.7864995207591144,7.846502458179791,nan
2,80.0,4096,r/M=4,0.7871085412088064,7.842714651337046,nan
2,80.0,4096,r/M=4,0.7877175616584982,7.839027332894422,nan
2,80.0,4096,r/M=4,0.7883265821081901,7.835448653951312,nan
2,80.0,4096,r/M=4,0.7889356025578819,7.83198682498152,nan
2,80.0,4096,r/M=4,0.7895446230075738,7.828650109759432,nan
2,80.0,4096,r/M=4,0.7901536434572657,7.825446818239661,nan
2,80.0,4096,r/M=4,0.7907626639069575,7.822385298390164,nan
2,80.0,4096,r/M=4,0.7913716843566494,7.819473926678986,nan
2,80.0,4096,r/M=4,0.7919807048063412,7.8167210971329775,nan
2,80.0,4096,r/M=4,0.7925897252560331,7.814135208785282,nan
2,80.0,4096,r/M=4,0.793198745705725,7.811724651342466,nan
