ell,L_over_M,observer,kappa_c_U,gamma_eff_over_kappa_c
1,20.0,r/M=4,1.2339824380530235,2.0632601213946438
1,20.0,r/M=4,1.236206779696141,2.066737333525367
1,20.0,r/M=4,1.238431121339258,2.0702400468864743
1,20.0,r/M=4,1.2406554629823754,2.07375797610219
1,20.0,r/M=4,1.2428798046254927,2.077280987135625
1,20.0,r/M=4,1.24510414626861,2.080799131957157
1,20.0,r/M=4,1.2473284879117272,2.084302681420111
1,20.0,r/M=4,1.2495528295548446,2.087782155834959
1,20.0,r/M=4,1.251777171197962,2.0912283528171045
1,20.0,r/M=4,1.2540015128410793,2.0946323721391993
1,20.0,r/M=4,1.2562258544841964,2.097985637582409
1,20.0,r/M=4,1.2584501961273138,2.101279916006157
1,20.0,r/M=4,1.2606745377704311,2.1045073339434066
1,20.0,r/M=4,1.2628988794135485,2.107660391975684
1,20.0,r/M=4,1.2651232210566656,2.1107319770374104
1,20.0,r/M=4,1.267347562699783,2.1137153727358764
1,20.0,r/M=4,1.2695719043429003,2.116604267750505
1,20.0,r/M=4,1.2717962459860177,2.1193927624114735
1,20.0,r/M=4,1.2740205876291348,2.1220753735395372
1,20.0,r/M=4,1.2762449292722522,2.124647037637555
1,20.0,r/M=4,1.2784692709153695,2.127103112538555
1,20.0,r/M=4,1.280693612558487,2.1294393776053053
1,20.0,r/M=4,1.282917954201604,2.131652032584245
1,20.0,r/M=4,1.2851422958447214,2.133737695210007
1,20.0,r/M=4,1.2873666374878387,2.1356933976661057
1,20.0,r/M=4,1.289590979130956,2.137516581994992
1,20.0,r/M=4,1.2918153207740732,2.1392050945462717
1,20.0,r/M=4,1.2940396624171906,2.140757179571785
1,20.0,r/M=4,1.296264004060308,2.1421714720378917
1,20.0,r/M=4,1.2984883457034253,2.14344698974682
1,20.0,r/M=4,1.3007126873465427,2.144583124851149
1,20.0,r/M=4,1.3029370289896598,2.1455796348249305
1,20.0,r/M=4,1.3051613706327772,2.1464366329721027
1,20.0,r/M=4,1.3073857122758945,2.1471545785407913
1,20.0,r/M=4,1.3096100539190119,2.147734266493818
1,20.0,r/M=4,1.311834395562129,2.148176816996662
1,20.0,r/M=4,1.3140587372052461,2.1484836646838934
1,20.0,r/M=4,1.3162830788483604,2.1486565477365733
1,20.0,r/M=4,1.3185074204914744,2.1486974968258123
1,20.0,r/M=4,1.3207317621345886,2.1486088239602577
1,20.0,r/M=4,1.3229561037777027,2.148393111265617
1,20.0,r/M=4,1.325180445420817,2.1480531997303256
1,20.0,r/M=4,1.327404787063931,2.1475921779508895
1,20.0,r/M=4,1.3296291287070452,2.1470133708963175
1,20.0,r/M=4,1.3318534703501594,2.1463203287086516
1,20.0,r/M=4,1.3340778119932735,2.145516815564986
1,20.0,r/M=4,1.3363021536363877,2.1446067986112824
1,20.0,r/M=4,1.3385264952795017,2.1435944369818745
1,20.0,r/M=4,1.340750836922616,2.1424840709142448
1,20.0,r/M=4,1.34297517856573,2.1412802109640268
1,20.0,r/M=4,1.3451995202088443,2.139987527331809
1,20.0,r/M=4,1.3474238618519583,2.1386108393005476
1,20.0,r/M=4,1.3496482034950725,2.137155104783903
1,20.0,r/M=4,1.3518725451381866,2.1356254099924463
