ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,213.5774112775997,-2.8487731099290134
0,2048,r/M=20,213.62741127759966,-2.848799059824713
0,2048,r/M=20,213.67741127759962,-2.848824991962844
0,2048,r/M=20,213.72741127759957,-2.848850906374518
0,2048,r/M=20,213.77741127759953,-2.848876803178792
0,2048,r/M=20,213.82741127759948,-2.848902682370062
0,2048,r/M=20,213.87741127759944,-2.848928544024598
0,2048,r/M=20,213.9274112775994,-2.848954388239837
0,2048,r/M=20,213.97741127759934,-2.8489802150006116
0,2048,r/M=20,214.0274112775993,-2.8490060243980095
0,2048,r/M=20,214.07741127759925,-2.849031816492596
0,2048,r/M=20,214.1274112775992,-2.8490575913721945
0,2048,r/M=20,214.17741127759916,-2.8490833490332186
0,2048,r/M=20,214.22741127759912,-2.8491090895480005
0,2048,r/M=20,214.27741127759907,-2.8491348130313896
0,2048,r/M=20,214.32741127759903,-2.8491605194550043
0,2048,r/M=20,214.37741127759898,-2.849186208927347
0,2048,r/M=20,214.42741127759894,-2.849211881501987
0,2048,r/M=20,214.4774112775989,-2.8492375371957848
0,2048,r/M=20,214.52741127759884,-2.849263176141281
0,2048,r/M=20,214.5774112775988,-2.849288798345935
0,2048,r/M=20,214.62741127759875,-2.8493144038475293
0,2048,r/M=20,214.6774112775987,-2.849339992723358
0,2048,r/M=20,214.72741127759866,-2.8493655650414507
0,2048,r/M=20,214.77741127759862,-2.8493911208758225
0,2048,r/M=20,214.82741127759857,-2.8494166602515274
0,2048,r/M=20,214.87741127759853,-2.8494421832209436
0,2048,r/M=20,214.92741127759848,-2.8494676898485323
0,2048,r/M=20,214.97741127759843,-2.8494931801925225
0,2048,r/M=20,215.0274112775984,-2.849518654326295
0,2048,r/M=20,215.07741127759834,-2.8495441123261718
0,2048,r/M=20,215.1274112775983,-2.8495695542163935
0,2048,r/M=20,215.17741127759825,-2.84959498003633
0,2048,r/M=20,215.2274112775982,-2.8496203898619106
0,2048,r/M=20,215.27741127759816,-2.8496457837567153
0,2048,r/M=20,215.32741127759812,-2.849671161808682
0,2048,r/M=20,215.37741127759807,-2.84969652402301
0,2048,r/M=20,215.42741127759803,-2.849721870487382
0,2048,r/M=20,215.47741127759798,-2.849747201240385
0,2048,r/M=20,215.52741127759793,-2.849772516357217
0,2048,r/M=20,215.5774112775979,-2.849797815909901
0,2048,r/M=20,215.62741127759784,-2.8498230999090604
0,2048,r/M=20,215.6774112775978,-2.849848368472422
0,2048,r/M=20,215.72741127759775,-2.8498736216256733
0,2048,r/M=20,215.7774112775977,-2.849898859431139
0,2048,r/M=20,215.82741127759766,-2.849924081938756
0,2048,r/M=20,215.87741127759762,-2.8499492892136646
0,2048,r/M=20,215.92741127759757,-2.849974481339298
0,2048,r/M=20,215.97741127759753,-2.8499996583406717
0,2048,r/M=20,216.02741127759748,-2.8500248202764134
0,2048,r/M=20,216.07741127759743,-2.8500499672326622
0,2048,r/M=20,216.1274112775974,-2.8500750992309594
0,2048,r/M=20,216.17741127759734,-2.850100216366416
0,2048,r/M=20,216.2274112775973,-2.8501253186756705
0,2048,r/M=20,216.27741127759725,-2.8501504062505374
0,2048,r/M=20,216.3274112775972,-2.8501754791181813
0,2048,r/M=20,216.37741127759716,-2.8502005373025368
0,2048,r/M=20,216.42741127759712,-2.850225580941181
0,2048,r/M=20,216.47741127759707,-2.850250610030128
0,2048,r/M=20,216.52741127759703,-2.850275624660599
0,2048,r/M=20,216.57741127759698,-2.8503006248775553
0,2048,r/M=20,216.62741127759693,-2.850325610710428
0,2048,r/M=20,216.6774112775969,-2.8503505822931907
0,2048,r/M=20,216.72741127759684,-2.8503755396119286
0,2048,r/M=20,216.7774112775968,-2.850400482738792
0,2048,r/M=20,216.82741127759675,-2.850425411755066
0,2048,r/M=20,216.8774112775967,-2.850450326698784
0,2048,r/M=20,216.92741127759666,-2.850475227663326
0,2048,r/M=20,216.97741127759662,-2.8505001145816435
0,2048,r/M=20,217.02741127759657,-2.8505249876054233
0,2048,r/M=20,217.07741127759652,-2.85054984687089
