ell,L_over_M,observer,smoothing_width_over_M,rms_fraction,persistence_kappa_c_U,tolerance,status,kappa_c_U_departure,kappa_c_U_entry,U_departure_over_M,U_entry_over_M,final_normalized_rate,resolved_end_kappa_c_U
1,20.0,r/M=8,45.0,0.6,0.4,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.071988410783546,3.627374046043953
1,20.0,r/M=16,20.0,0.4,0.15,0.05,no_cosmological_entry,2.143738170086821,nan,48.18814988968101,nan,-0.18121374392337541,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.15,0.1,no_cosmological_entry,2.1637572448748483,nan,48.6381498896806,nan,-0.18121374392337541,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.15,0.2,no_cosmological_entry,3.100205076625902,nan,69.68814988966146,nan,-0.18121374392337541,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.25,0.05,no_cosmological_entry,2.143738170086821,nan,48.18814988968101,nan,-0.10068666154140984,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.25,0.1,no_cosmological_entry,2.1637572448748483,nan,48.6381498896806,nan,-0.10068666154140984,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.25,0.2,no_cosmological_entry,3.100205076625902,nan,69.68814988966146,nan,-0.10068666154140984,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,0.09321163526485421,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.4,0.1,no_cosmological_entry,nan,nan,nan,nan,0.09321163526485421,4.606084369014175
1,20.0,r/M=16,20.0,0.4,0.4,0.2,no_cosmological_entry,1.736683649396933,nan,39.03814988968933,nan,0.09321163526485421,4.606084369014175
1,20.0,r/M=16,20.0,0.6,0.15,0.05,no_cosmological_entry,2.177103294733533,nan,48.938149889680325,nan,0.4895649333300841,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.15,0.1,no_cosmological_entry,2.4373512669778874,nan,54.788149889675005,nan,0.4895649333300841,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.15,0.2,no_cosmological_entry,3.3960425151600826,nan,76.33814988965541,nan,0.4895649333300841,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.25,0.05,no_cosmological_entry,nan,nan,nan,nan,1.0881739016641374,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.25,0.1,no_cosmological_entry,2.4373512669778874,nan,54.788149889675005,nan,1.0881739016641374,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.25,0.2,no_cosmological_entry,3.3960425151600826,nan,76.33814988965541,nan,1.0881739016641374,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.0623183603493134,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.4,0.1,no_cosmological_entry,2.4373512669778874,nan,54.788149889675005,nan,2.0623183603493134,4.517110703289609
1,20.0,r/M=16,20.0,0.6,0.4,0.2,no_cosmological_entry,3.3960425151600826,nan,76.33814988965541,nan,2.0623183603493134,4.517110703289609
1,20.0,r/M=16,30.0,0.4,0.15,0.05,no_cosmological_entry,3.3359852907960006,nan,74.98814988965664,nan,2.3282400556523637,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.15,0.1,no_cosmological_entry,4.267984439260826,nan,95.93814988963759,nan,2.3282400556523637,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.15,0.2,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.3282400556523637,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.25,0.05,no_cosmological_entry,3.3359852907960006,nan,74.98814988965664,nan,2.439759909021574,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.25,0.1,no_cosmological_entry,3.369350415442713,nan,75.73814988965596,nan,2.439759909021574,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.25,0.2,no_cosmological_entry,4.294676538978195,nan,96.53814988963704,nan,2.439759909021574,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.4,0.05,no_cosmological_entry,2.399537459044947,nan,53.93814988967577,nan,2.6081665263206237,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.4,0.1,no_cosmological_entry,3.369350415442713,nan,75.73814988965596,nan,2.6081665263206237,4.294676538978195
1,20.0,r/M=16,30.0,0.4,0.4,0.2,no_cosmological_entry,3.418285931591224,nan,76.83814988965496,nan,2.6081665263206237,4.294676538978195
1,20.0,r/M=16,30.0,0.6,0.15,0.05,no_cosmological_entry,3.4827918392415342,nan,78.28814988965364,nan,2.5837964486289837,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.15,0.1,no_cosmological_entry,3.513932622245132,nan,78.988149889653,nan,2.5837964486289837,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.15,0.2,no_cosmological_entry,3.925435826221248,nan,88.23814988964459,nan,2.5837964486289837,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.25,0.05,no_cosmological_entry,3.4827918392415342,nan,78.28814988965364,nan,2.5665573177932277,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.25,0.1,no_cosmological_entry,3.513932622245132,nan,78.988149889653,nan,2.5665573177932277,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.25,0.2,no_cosmological_entry,3.562868138393643,nan,80.088149889652,nan,2.5665573177932277,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.5044089793339865,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.4,0.1,no_cosmological_entry,3.513932622245132,nan,78.988149889653,nan,2.5044089793339865,4.161216040391347
1,20.0,r/M=16,30.0,0.6,0.4,0.2,no_cosmological_entry,3.562868138393643,nan,80.088149889652,nan,2.5044089793339865,4.161216040391347
1,20.0,r/M=16,45.0,0.4,0.15,0.05,no_cosmological_entry,2.1214947536556794,nan,47.68814988968146,nan,2.347695015862159,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.15,0.1,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.347695015862159,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.15,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.347695015862159,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.25,0.05,no_cosmological_entry,2.1214947536556794,nan,47.68814988968146,nan,2.2452294930527,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.25,0.1,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.2452294930527,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.25,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.2452294930527,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,2.1587963759262667,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.4,0.1,no_cosmological_entry,2.1704302698041906,nan,48.78814988968046,nan,2.1587963759262667,3.827564793924226
1,20.0,r/M=16,45.0,0.4,0.4,0.2,no_cosmological_entry,3.827564793924226,nan,86.03814988964659,nan,2.1587963759262667,3.827564793924226
1,20.0,r/M=16,45.0,0.6,0.15,0.05,no_cosmological_entry,2.3283585264652946,nan,52.33814988967723,nan,2.003563508153491,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.15,0.1,no_cosmological_entry,3.117999809770815,nan,70.0881498896611,nan,2.003563508153491,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.15,0.2,no_cosmological_entry,3.627374046043953,nan,81.53814988965068,nan,2.003563508153491,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.25,0.05,no_cosmological_entry,2.3283585264652946,nan,52.33814988967723,nan,1.9513950818498338,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.25,0.1,no_cosmological_entry,2.37951838425692,nan,53.488149889676194,nan,1.9513950818498338,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.25,0.2,no_cosmological_entry,3.384920806944512,nan,76.08814988965564,nan,1.9513950818498338,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,1.984488013841961,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.4,0.1,no_cosmological_entry,2.37951838425692,nan,53.488149889676194,nan,1.984488013841961,3.627374046043953
1,20.0,r/M=16,45.0,0.6,0.4,0.2,no_cosmological_entry,3.384920806944512,nan,76.08814988965564,nan,1.984488013841961,3.627374046043953
1,20.0,cosmological_horizon,20.0,0.4,0.15,0.05,no_cosmological_entry,nan,nan,nan,nan,-0.8552424049355271,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.15,0.1,no_cosmological_entry,2.174878953090419,nan,48.88814988968038,nan,-0.8552424049355271,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.15,0.2,no_cosmological_entry,3.2425629417852067,nan,72.88814988965855,nan,-0.8552424049355271,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.25,0.05,no_cosmological_entry,nan,nan,nan,nan,-0.699924739629997,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.25,0.1,no_cosmological_entry,nan,nan,nan,nan,-0.699924739629997,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.25,0.2,no_cosmological_entry,2.3283585264652946,nan,52.33814988967723,nan,-0.699924739629997,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.4,0.05,no_cosmological_entry,nan,nan,nan,nan,-0.3661132312964602,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.4,0.1,no_cosmological_entry,nan,nan,nan,nan,-0.3661132312964602,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.4,0.4,0.2,no_cosmological_entry,2.3283585264652946,nan,52.33814988967723,nan,-0.3661132312964602,4.606084369014175
1,20.0,cosmological_horizon,20.0,0.6,0.15,0.05,no_cosmological_entry,nan,nan,nan,nan,0.14271081113051257,4.517110703289609
1,20.0,cosmological_horizon,20.0,0.6,0.15,0.1,no_cosmological_entry,2.3728453593275773,nan,53.33814988967632,nan,0.14271081113051257,4.517110703289609
1,20.0,cosmological_horizon,20.0,0.6,0.15,0.2,no_cosmological_entry,3.28704977464749,nan,73.88814988965764,nan,0.14271081113051257,4.517110703289609
