r,u,du_dr
2.7988,0.16734553429960913,1.3885684598374848
2.8021,0.1719389780682525,1.3952572023279393
2.8053999999999997,0.17655371326283834,1.4014745121531957
2.8087,0.18118820545731595,1.407233280415896
2.812,0.1858409625665284,1.412546273852229
2.8152999999999997,0.19051053440436977,1.4174261161755057
2.8186,0.1951955121841825,1.4218852716971706
2.8219,0.19989452796859924,1.4259360310347644
2.8251999999999997,0.2046062540754242,1.4295904987296932
2.8285,0.2093294024455702,1.432860582610234
2.8318,0.2140627239785627,1.4357579847471185
2.8350999999999997,0.21880500784063284,1.4382941938602507
2.8383999999999996,0.22355508074996294,1.4404804790456216
2.8417,0.228311806243241,1.4423278847013596
2.8449999999999998,0.2330740839272938,1.4438472265411155
2.8482999999999996,0.23784084871922004,1.4450490885916007
2.8516,0.24261107007810315,1.445943821079174
2.8548999999999998,0.24738375123109413,1.4465415391178773
2.8581999999999996,0.2521579283963818,1.4468521221183308
2.8615,0.25693267000529196,1.4468852138433947
2.8648,0.26170707592554676,1.4466502230425589
2.8680999999999996,0.266480276687487,1.446156324602612
2.8713999999999995,0.27125143271486146,1.4454124611573662
2.8747,0.27601973356161347,1.4444273451040082
2.8779999999999997,0.2807843971559257,1.4432094609781194
2.8812999999999995,0.28554466905263753,1.4417670681435226
2.8846,0.29029982169499685,1.440108203756916
2.8878999999999997,0.2950491536866,1.4382406859707988
2.8911999999999995,0.2997919890742508,1.4361721173413957
2.8945,0.30452767664236025,1.4339098884113206
2.8977999999999997,0.3092555892194159,1.4314611814394587
2.9010999999999996,0.3139751229969756,1.428832974253071
2.9044,0.3186856968615361,1.4260320441995082
2.9076999999999997,0.3233867517395801,1.4230649721770052
2.9109999999999996,0.32807774995603417,1.4199381467260663
2.9143,0.3327581746062996,1.4166577681647197
2.9175999999999997,0.33742752894198136,1.4132298527526121
2.9208999999999996,0.34208533577039163,1.4096602368704219
2.9242,0.3467311368678509,1.405954581202485
2.9274999999999998,0.35136449240677975,1.4021183749118107
2.9307999999999996,0.3559849803965481,1.3981569397978155
2.9341,0.36059219613799925,1.3940754344282116
2.9374,0.36518575169155704,1.389878858237443
2.9406999999999996,0.3697652753587966,1.385572055584959
2.944,0.3743304111773299,1.3811597197674543
