tau,u_rho_0.5,u_rho_0.75,u_rho_0.9,u_rho_0.95,u_rho_1
11.499999999999844,0.047038075024841766,0.07831778336691017,0.08851679668268286,0.09057685343971544,0.0919649374795031
11.599999999999842,0.05010736246332793,0.07973559182091706,0.08890624516145995,0.09059055825980378,0.09157627866171314
11.69999999999984,0.05305623676081625,0.08102639214021756,0.08916379948111106,0.09047114891659801,0.09105359658832211
11.799999999999837,0.05588224345996202,0.08218958789726445,0.0892903689856689,0.09022012874505789,0.09039905032536491
11.899999999999835,0.058583136011437824,0.08322477181752891,0.08928703401056602,0.0898391633972486,0.0896149507448223
11.999999999999833,0.06115687712894113,0.08413172558855105,0.08915504425242934,0.08933007866997827,0.0887037577761514
12.099999999999831,0.06360163976453419,0.08491041933395102,0.08889581684302605,0.08869485805132366,0.08766807739253968
12.199999999999829,0.06591580770698964,0.0855610107539054,0.08851093412944086,0.08793563998850584,0.08651065833481922
12.299999999999827,0.0680979758065998,0.08608384393440978,0.08800214116333144,0.08705471488032761,0.08523438857670552
12.399999999999824,0.07014694983067271,0.08647944782845567,0.0873713429028738,0.08605452179812709,0.08384229153575276
12.499999999999822,0.0720617459546708,0.08674853441304056,0.08662060113176183,0.08493764493993917,0.08233752203512912
12.59999999999982,0.07384158989466588,0.08689199652671237,0.08575213110037394,0.08370680982328725,0.08072336202203276
12.699999999999818,0.07548591568746331,0.08691090539310631,0.08476829789494793,0.0823648792227391,0.07900321604925914
12.799999999999816,0.07699436412540812,0.08680650783667568,0.0836716125413225,0.08091484885906361,0.07718060652711588
12.899999999999814,0.07836678085350894,0.08658022319753333,0.08246472785049994,0.07935984284750577,0.07525916875354542
12.999999999999812,0.07960321413711266,0.0862336399530159,0.0811504340139607,0.07770310891335996,0.07324264573096023
13.09999999999981,0.0807039123089246,0.08576851205424643,0.07973165395731076,0.0759480133836589,0.07113488277891611
13.199999999999807,0.0816693209047006,0.08518675498660987,0.07821143846146977,0.07409803596440906,0.06893982195234688
13.299999999999805,0.08250007949743451,0.08449044156366108,0.07659296106120532,0.07215676431338916,0.06666149627565268
13.399999999999803,0.08319701824032888,0.08368179746456031,0.0748795127313851,0.0701278884190837,0.06430402380347405
13.499999999999801,0.0837611541292658,0.08276319652566916,0.07307449637185462,0.06801519479684662,0.06187160151949113
13.599999999999799,0.08419368699589173,0.08173715579744709,0.07118142110234893,0.06582256051388105,0.05936849908506219
13.699999999999797,0.08449599524278975,0.08060633037825607,0.06920389637931244,0.063553947055075,0.056799052449955256
13.799999999999795,0.08466963133254089,0.079373508037112,0.06714562594693006,0.061213394042151675,0.05416765733782763
13.899999999999793,0.08471631704276823,0.0780416036378164,0.06501040163506362,0.05880501281897275,0.051478762619473574
13.99999999999979,0.0846379384995152,0.07661365337725304,0.06280209701713803,0.05633297991617181,0.048736863587182884
14.099999999999788,0.08443654100153514,0.07509280885095343,0.060524660941334935,0.05380153040859807,0.045946495143838154
14.199999999999786,0.08411432364825963,0.07348233095930636,0.05818211094872043,0.051214951179306974,0.04311222492062101
14.299999999999784,0.0836736337843705,0.07178558366802482,0.0557785265921634,0.04857757410405307,0.040238646337395274
14.399999999999782,0.083116961274029,0.07000602763667962,0.053318042670090146,0.04589376917041569,0.03733037161999665
