U_over_M,schwarzschild_fine,uniform_sds_L80,exterior_sds_L80,uniform_sds_L160,exterior_sds_L160,uniform_sds_L320,exterior_sds_L320,uniform_sds_L640,exterior_sds_L640
9.34741127775995,0.14047882455398153,0.17823249605596367,0.17159349500206278,0.1588262306771261,0.1562797508547878,0.1495167209417734,0.1485825408722688,0.14496048799874062,0.14463368811673277
9.377411277759943,0.13639893449857993,0.1743994464334472,0.16772445332749708,0.15485953922996026,0.15229931037542416,0.14549106399722125,0.14455178442261743,0.14090723520162352,0.14057861524980372
9.407411277759937,0.13230165050111536,0.17054258244824722,0.1638325973451605,0.15087226506914458,0.1482987234421586,0.14144642763748075,0.1405022220590051,0.1368358094773155,0.13650542034118765
9.437411277759931,0.12818777209200538,0.1666626277345357,0.1599186309015545,0.1468651799319188,0.14427875907984347,0.13738361878311944,0.1364346291748846,0.1327469639283603,0.1324148818541571
9.467411277759926,0.12405805850055915,0.16276027413007646,0.15598328424587313,0.14283908718920124,0.14024018789090378,0.1333034270723329,0.13234978267209413,0.12864148381578647,0.12830777955233905
9.49741127775992,0.11991326262469813,0.1588362643114846,0.15202735244808516,0.13879477024816367,0.13618378244204862,0.12920660533953157,0.12824846077058388,0.12452017782460036,0.12418489441710857
9.527411277759914,0.11575417479292024,0.15489140229775517,0.14805164200291335,0.1347329729635399,0.13211031630460746,0.12509390500346165,0.12413144292068784,0.1203838378500933,0.1200470085505332
9.557411277759908,0.11158161421993064,0.15092647838188025,0.14405690474904487,0.1306544391011924,0.1280205648739,0.12096611456056784,0.11999950968877128,0.11623322479509915,0.11589490497430706
9.587411277759902,0.10739638138506648,0.1469422181580679,0.140043854025753,0.12655995327170308,0.12391530448619129,0.11682404667525469,0.11585344258974015,0.1120690995436845,0.1117293676188254
9.617411277759896,0.10319923843252779,0.1429393274092884,0.13601323790675718,0.12245032544698191,0.11979531264043639,0.11266849309823737,0.11169402404327074,0.10789225461343992,0.10755118109485183
9.64741127775989,0.09899094370528579,0.1389185666947434,0.13196586433801538,0.11832634192742407,0.11566136806876501,0.10850021075982365,0.10752203714573118,0.10370350241647447,0.10336113063309746
9.677411277759884,0.09477229139456853,0.13488074993406157,0.12790254383920563,0.11418875156335528,0.11151424993586546,0.10431995726377909,0.103338265668745,0.0995036371788389,0.09916000196487125
9.707411277759878,0.09054410200213685,0.1308266708041024,0.1238240315755273,0.11003830522332726,0.10735473865320352,0.10012852564410071,0.09914349380394542,0.09529342307077318,0.09494858112583278
9.737411277759872,0.08630717771531148,0.1267570606671162,0.11973104895562894,0.10587579291933691,0.1031836148825941,0.09592673088868794,0.09493850616965582,0.09107362386021003,0.09072765444507128
9.767411277759866,0.08206228344739577,0.12267263491953087,0.11562435290995578,0.10170202792065491,0.09900165989556826,0.09171536755577007,0.09072408756087894,0.08684503289971977,0.08649800830842953
9.79741127775986,0.07781017795368209,0.11857416189647164,0.1115047567730923,0.09751780048046439,0.09480965554003194,0.08749519602363842,0.08650102293615779,0.0826084630953691,0.08226042909627394
9.827411277759854,0.07355165222870516,0.11446246003064683,0.1073730754237616,0.09332386391604024,0.09060838347047603,0.08326697480382636,0.08227009719551875,0.07836471102683228,0.07801570307027315
9.857411277759848,0.0692875242877374,0.11033832884627968,0.1032300703794672,0.08912097064319364,0.08639862596659387,0.07903149471047627,0.07803209513094869,0.07411454310860434,0.07376461616154227
9.887411277759842,0.06501859821152425,0.10620250779452953,0.09907646823831762,0.08490990901223043,0.08218116494522548,0.07478956969332162,0.07378780124335092,0.06985872124152634,0.06950795396584257
9.917411277759836,0.06074564145293829,0.10205571676329153,0.09491302594806861,0.08069149228799856,0.07795678224185705,0.07054199729941889,0.06953799965100253,0.0655980333692437,0.06524650151301206
9.94741127775983,0.056469408981409064,0.09789872239397936,0.090740555320418,0.07646651520739435,0.07372625971197141,0.06628954073801299,0.06528347394700305,0.06133328909681103,0.06098104317562924
9.977411277759824,0.05219068187123593,0.09373234234915524,0.086559875462829,0.07223573514656237,0.06949037833019457,0.062032954936460695,0.06102500706792384,0.05706528671714281,0.05671236259185242
10.007411277759818,0.04791027070077822,0.08955738348121475,0.0823717567627588,0.06799990138937562,0.06524991902908257,0.05777302188597395,0.056763381187209215,0.052794794302373924,0.05244124242364179
10.037411277759812,0.04362898030449719,0.08537459553400122,0.07817692898358479,0.06375979365263094,0.06100566186665212,0.05351054991502565,0.05249937755048423,0.04852256831984577,0.04816846434980184
10.067411277759806,0.03934758101494201,0.08118469929301292,0.07397614128900158,0.05951622049323739,0.05675838599268633,0.0492463386111344,0.048233776397620165,0.04424938521925609,0.04389480887223182
10.0974112777598,0.03506682186711041,0.07698845107237205,0.06977019608351862,0.05526998046480855,0.052508870089535274,0.0449811541506677,0.04396735677265587,0.039976045998106925,0.03962105516152696
10.127411277759794,0.030787468082703107,0.0727866606458896,0.06555991425517776,0.05102183551558753,0.04825789129390648,0.04071574532887024,0.039700896466714104,0.0357033486033423,0.03534798103371439
10.157411277759788,0.026510315942823076,0.06858014115629943,0.06134607716497728,0.046772529281078036,0.04400622590255046,0.03645087920495714,0.03543517181029628,0.031432062872263,0.03107636269433923
10.187411277759782,0.02223616739434872,0.06436965532601276,0.05712941836120232,0.04252282634171467,0.03975464897402164,0.03218735188237445,0.03117095762984746,0.027162938485931674,0.02680697468709675
10.217411277759776,0.01796579614694324,0.06015592470054944,0.05291067388050901,0.03827352353621849,0.035503933749004075,0.02792596178578273,0.026909027029380656,0.02289673525688718,0.022540589783841034
10.24741127775977,0.013699946137991859,0.055939688640909445,0.048690627434232615,0.03402542009377937,0.03125485244397241,0.02366747867346441,0.022650151354304773,0.01863423843200174,0.01827797875072071
10.277411277759764,0.009439363119881361,0.051721739295266515,0.04447009510188613,0.029779283666872897,0.027008175254945803,0.019412645633222272,0.018395099968618808,0.01437624088353547,0.014019910348600525
10.307411277759758,0.005184820788980832,0.04750289051899695,0.04024986954806446,0.02553585307224317,0.02276467052642528,0.015162210626439169,0.014144640220142652,0.01012351410874855,0.009767151131306023
10.337411277759752,0.0009371106736229262,0.04328391994699499,0.036030692036899424,0.02129587336003334,0.018525105076952778,0.010916949189187683,0.00989953721926354,0.005876802487982884,0.00552046528701325
10.367411277759746,-0.003302991494511215,0.03906555429173348,0.03181328494311505,0.01706012061712455,0.014290243135925536,0.00667765162657838,0.005660553799659611,0.0016368467925295662,0.0012806146251459994
10.39741127775974,-0.007534743319004944,0.034848514032922814,0.027598404304156755,0.012829387400805069,0.010060847041629049,0.0024450905066698636,0.001428450304976706,-0.002595591398556174,-0.0029516416774540096
10.427411277759735,-0.01175741755877352,0.030633562830619455,0.02338684956267221,0.008604446720094439,0.005837676923860013,-0.0017799933772948162,-0.002796015461555458,-0.006819732837251437,-0.007175547153394259
10.457411277759729,-0.015970270240861784,0.026421503322902336,0.019179420013303757,0.004386036820621855,0.0016214899952916744,-0.005996871029473564,-0.007012088435167152,-0.011034807115588028,-0.011390348113434859
10.487411277759723,-0.020172531896397033,0.022213125549269117,0.01497687000904721,0.0001748836318068807,-0.0025869586147298975,-0.010204795237293502,-0.01121901635876886,-0.015240071786767445,-0.015595293903748633
