phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,observer,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,phase_residual_from_minus_pi_over_2
-0.7754533453003855,-0.49366893216681085,0.3281672450070206,0.9976522904584559,sds_L80,outer,0->1,2.293640148143063,0.20787957635076193,0.7953429814945111
-1.5129458715481727,-0.9631712563494698,-0.4199999517815447,0.9987913279665902,sds_L80,outer,1->2,0.16165211307270877,0.20787957635076193,0.05785045524672383
-1.6071046264871234,-1.0231145814851195,0.4191491370740338,0.9999547307832226,sds_L80,outer,2->3,0.21157780387564148,0.20787957635076193,-0.03630829969222683
-0.8134655515239726,-0.5178682542400604,0.40138078576819464,0.996251424986485,sds_L160,r8M,0->1,0.4878165092162693,0.20787957635076193,0.757330775270924
-1.569151915482889,-0.9989531352448711,-0.4529160110719412,0.9996775525771958,sds_L160,r8M,1->2,0.17986719964277367,0.20787957635076193,0.0016444113120075432
-1.6047725491527207,-1.0216299349433484,0.45499992860498834,0.9999474301284235,sds_L160,r8M,2->3,0.21131504279912502,0.20787957635076193,-0.03397622235782415
-0.7952575530390722,-0.5062766823893339,0.36105954292100156,0.9970248182395866,sds_L160,r12M,0->1,1.0057704006461536,0.20787957635076193,0.7755387737558244
-1.554277916496889,-0.989484053396208,-0.44619210616061916,0.999457705312532,sds_L160,r12M,1->2,0.1744231817704416,0.20787957635076193,0.0165184102980076
-1.6057247737244396,-1.0222361399334388,0.44771579350374757,0.9999443247096451,sds_L160,r12M,2->3,0.21070856676767266,0.20787957635076193,-0.03492844692954299
-0.7779898619034931,-0.49528372878928784,0.323233357569284,0.9976482435924502,sds_L160,outer,0->1,2.4353013084646036,0.20787957635076193,0.7928064648914034
-1.5099355207253575,-0.9612548074939026,-0.42925321582250453,0.9986849901542576,sds_L160,outer,1->2,0.16118270319205652,0.20787957635076193,0.06086080606953903
-1.6087107832608134,-1.0241370926447726,0.4276466378344753,0.9999302813940371,sds_L160,outer,2->3,0.2106255162714213,0.20787957635076193,-0.037914456465916846
