pulse,window_start,window_end,analytic_time,matched_time,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,cosmological_length_over_M,observer,observer_radius_over_M,output_cadence_over_M,delay_over_M,amplitude_ratio,flux_energy_ratio
0,18.0,35.0,26.105686534708575,26.10427217594125,26.104979355324915,0.0014143587673238756,0.0005000000000006111,0.0015001369013215174,0.061143587872205134,0.061128879936930676,0.061136233904567905,1.4707935274457795e-05,-0.06113811774696524,0.007248761277360388,0.0037179144382142723,0.0,sds_L80,80.0,r12M,12.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,44.823135390425314,44.824787961434104,44.82396167592971,0.00165257100879046,0.0005000000000006111,0.0017265546441092821,0.061731460110203404,0.06161947491592775,0.061675467513065574,0.00011198519427565307,-0.05635235946571313,0.007084110143252243,0.0048734102528300675,1.0,sds_L80,80.0,r12M,12.0,0.0010000000000012221,18.718982320604795,1.0088201966993813,1.3107913949657175
2,53.0,69.0,62.425197212290556,62.43491088433635,62.43005404831345,0.0097136720457911,0.0005000000000006111,0.009726531993119852,0.010714992424678367,0.010745795342856511,0.010730393883767439,3.080291817814454e-05,0.008241455437307981,0.00021831760185895727,0.00017402305308494327,0.0,sds_L80,80.0,r12M,12.0,0.0010000000000012221,17.606092372383742,0.17398155727792855,0.03570868120201563
3,69.0,86.0,78.3919975104546,78.39528825563056,78.39364288304259,0.0032907451759598416,0.0005000000000006111,0.003328513754381012,0.002269539642156934,0.002262372041435951,0.0022659558417964425,7.1676007209831374e-06,0.002060148664125227,9.39957593461495e-06,7.268970177718458e-06,1.0,sds_L80,80.0,r12M,12.0,0.0010000000000012221,15.963588834729137,0.2111717301658703,0.04177015659052002
0,18.0,35.0,26.66446445190052,26.649985453472873,26.657224952686697,0.014478998427648548,0.0005000000000006111,0.014487629049221606,0.03367882945263492,0.03368306906061741,0.033680949256626166,4.239607982486904e-06,-0.03367833646848447,0.002194993288256106,0.0011379865531887412,0.0,sds_L80,80.0,outer,78.98059813298828,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,44.05914821640869,44.058515522074835,44.05883186924176,0.0006326943338521573,0.0005000000000006111,0.0008064131199882825,0.07750136894855215,0.0770025859365819,0.07725197744256702,0.0004987830119702608,-0.07091943326580673,0.011291542096192354,0.007491747155104372,1.0,sds_L80,80.0,outer,78.98059813298828,0.0010000000000012221,17.40160691655506,2.293640148143063,6.583335395406755
2,53.0,69.0,62.010982667941654,62.0388048170944,62.02489374251803,0.0278221491527475,0.0005000000000006111,0.02782664161334833,0.012445225674751901,0.012530665110520482,0.012487945392636191,8.54394357685806e-05,0.008896414811380121,0.0002973778030214985,0.00023848939041583566,0.0,sds_L80,80.0,outer,78.98059813298828,0.0010000000000012221,17.966061873276274,0.16165211307270877,0.031833614439769904
3,69.0,86.0,78.03020977800259,78.03438975187034,78.03229976493645,0.004179973867749709,0.0005000000000006111,0.004209772147643038,0.0026485661239825462,0.0026357779982032546,0.0026421720610929006,1.2788125779291618e-05,0.002447128504520556,1.2756016917689913e-05,9.808058656074101e-06,1.0,sds_L80,80.0,outer,78.98059813298828,0.0010000000000012221,16.007406022418422,0.21157780387564148,0.041125765129310536
0,18.0,35.0,25.768648183776715,25.76837655369158,25.76851236873415,0.00027163008513397813,0.0005000000000006111,0.0005690192467311657,0.11352704778174882,0.11352217351200039,0.11352461064687461,4.874269748433857e-06,-0.11350088792860397,0.025113349472196466,0.01255285326572484,0.0,sds_L160,160.0,r8M,8.0,0.0010000000000012221,nan,nan,nan
1,35.0,53.0,45.10709973980235,45.108142303716505,45.10762102175943,0.0010425639141544707,0.0005000000000006111,0.0011562610064763498,0.05540095464522111,0.05535740390656786,0.05537917927589449,4.3550738653246046e-05,-0.05069913729166649,0.0056710750480732895,0.003967241457807495,1.0,sds_L160,160.0,r8M,8.0,0.0010000000000012221,19.339108653025278,0.4878165092162693,0.31604300423393933
