ell,observer,U_over_M,n_eff,positive_power
0,r/M=20,549.2274112773307,-2.9249301959087974,2.9249301959087974
0,r/M=20,551.2274112773289,-2.92547790399602,2.92547790399602
0,r/M=20,553.2274112773271,-2.9261943014993093,2.9261943014993093
0,r/M=20,555.2274112773252,-2.927037632137473,2.927037632137473
0,r/M=20,557.2274112773234,-2.9279524459353468,2.9279524459353468
0,r/M=20,559.2274112773216,-2.928874995082976,2.928874995082976
0,r/M=20,561.2274112773198,-2.929739555192904,2.929739555192904
0,r/M=20,563.227411277318,-2.930484971971761,2.930484971971761
0,r/M=20,565.2274112773162,-2.9310607167827665,2.9310607167827665
0,r/M=20,567.2274112773143,-2.93143180223086,2.93143180223086
0,r/M=20,569.2274112773125,-2.9315820500256913,2.9315820500256913
