pulse,window_start,window_end,analytic_time,matched_time,matched_time_resolved,time,timing_systematic,cadence_uncertainty,timing_uncertainty,analytic_amplitude,matched_amplitude,amplitude,amplitude_systematic,signed_amplitude,integrated_field_energy,integrated_flux_energy,phi_over_pi,case,gamma_over_pi,Omega_ph_M,rescaled_U,ray_U_over_M,simulation_minus_ray_over_M,amplitude_ratio
1,44.0,61.0,53.01560425482536,53.01560425750659,True,53.01560425482536,2.6812259079633805e-09,0.0005000000000006111,0.0005000000000078001,0.005736085593522432,0.005736085593921198,0.005736085593522432,3.987660895932166e-13,-0.0016661147506933144,7.461323709097093e-05,4.070388092083229e-05,0.5,schwarzschild,0.5,0.19245008972987526,3.855829806798852,53.3203336090007,-0.3047293541753362,0.22164051751972816
2,60.0,77.0,69.80641941073641,69.80641940556252,True,69.80641941073641,5.1738879847107455e-09,0.0005000000000006111,0.0005000000000273801,0.001228240865767318,0.001228240865997162,0.001228240865767318,2.2984392167302303e-13,0.0012226280732982873,2.9979936937219527e-06,1.5505194636701013e-06,0.5,schwarzschild,0.5,0.19245008972987526,7.087223690191683,69.91172750609154,-0.1053080953551273,0.21412526813657193
3,76.0,96.0,86.1089971339995,86.10899713400116,True,86.1089971339995,1.6626700016786344e-12,0.0005000000000006111,0.0005000000000006111,0.00023288224250602672,0.00023288224250602815,0.00023288224250602672,1.4365678785432934e-18,2.193803767100014e-05,1.1963942134550444e-07,6.551719255514804e-08,0.5,schwarzschild,0.5,0.19245008972987526,10.224656235861929,86.24722943255836,-0.13823229855886154,0.18960632966770596
0,22.0,43.0,35.82612430765021,35.723825035548224,True,35.82612430765021,0.10229927210198753,0.0005000000000006111,0.10230049399976758,0.02653732052717043,0.028069910755167973,0.02653732052717043,0.0015325902279975448,-0.026331777989519807,0.0017529758467678988,0.0004883187654546874,0.5,sds_L12,0.5,0.1734721666221777,0.0,35.89910216823236,-0.07297786058214939,
1,44.0,61.0,57.32267768805864,57.015604107861726,False,57.32267768805864,0.30707358019691355,0.0005000000000006111,0.3070739872652034,0.005692770331706922,0.0037912968987271504,0.005692770331706922,0.0019014734329797717,-0.0052436858886769295,9.082213014809984e-05,2.222387135135735e-05,0.5,sds_L12,0.5,0.1734721666221777,3.7290536898087483,58.37826250520386,-1.055584817145217,0.21451940959443655
2,60.0,77.0,65.46011892418572,65.80641955770004,False,65.46011892418572,0.3463006335143177,0.0005000000000006111,0.3463009944721756,0.0010561600341395013,0.00036694846031865794,0.0010561600341395013,0.0006892115738208434,-0.0010275490606173189,1.2033559854691701e-05,1.7758325290950284e-06,0.5,sds_L12,0.5,0.1734721666221777,5.140673251800365,76.70817493894114,-11.24805601475542,0.18552654904362215
3,76.0,96.0,79.16142770238548,82.10899728096312,False,79.16142770238548,2.9475695785776423,0.0005000000000006111,2.947569620985462,0.0006445049096792233,0.0001738749642080158,0.0006445049096792233,0.0004706299454712075,-0.00045682640593922296,2.1290442041257184e-06,4.344683226241831e-07,0.5,sds_L12,0.5,0.1734721666221777,7.51746897111414,94.82762826531109,-15.66620056292561,0.6102341395679954
0,22.0,43.0,34.31267014301315,34.24932599250521,True,34.31267014301315,0.06334415050793751,0.0005000000000006111,0.0633461238243686,0.026382585363442866,0.0270710318168526,0.026382585363442866,0.0006884464534097322,-0.026288084096422266,0.0016051264969286023,0.0005044140766964644,0.5,sds_L20,0.5,0.18584142981864143,0.0,34.361266972403115,-0.04859682938996457,
1,44.0,61.0,54.41716543505916,54.83934277761554,True,54.41716543505916,0.42217734255638106,0.0005000000000006111,0.42217763864038077,0.005511749832042941,0.005163408541129027,0.005511749832042941,0.0003483412909139139,-0.004193396280297464,7.152371281045905e-05,3.029381419356634e-05,0.5,sds_L20,0.5,0.18584142981864143,3.736248150855976,55.20487577612555,-0.7877103410663864,0.2089162133321596
2,60.0,77.0,72.005032797096,72.07815801336416,True,72.005032797096,0.07312521626815283,0.0005000000000006111,0.07312692564482745,0.0010348475611153855,0.00111962761302366,0.0010348475611153855,8.478005190827457e-05,0.0009460888291236079,2.5072698381602597e-06,1.2463401073292762e-06,0.5,sds_L20,0.5,0.18584142981864143,7.004802568877521,72.33259549633163,-0.327562699235628,0.18775299907467263
