x,numerical_u,analytic_u
5.448699758569797602e+00,-5.956975341425018167e-01,-5.956975252826031131e-01
5.497787143782137953e+00,-7.071046797463892419e-01,-7.071046692295150926e-01
5.546874528994478304e+00,-8.032051444400939433e-01,-8.032051324938995762e-01
5.595961914206818655e+00,-8.819186433796252222e-01,-8.819186302627172180e-01
5.645049299419159894e+00,-9.415412670221772196e-01,-9.415412530184894546e-01
5.694136684631500245e+00,-9.807823656220002739e-01,-9.807823510346742601e-01
5.743224069843840596e+00,-9.987924878997714861e-01,-9.987924730445748578e-01
5.792311455056180947e+00,-9.951817690974638086e-01,-9.951817542959755514e-01
5.841398840268521298e+00,-9.700283703730493423e-01,-9.700283559456682747e-01
5.890486225480861648e+00,-9.238767868474059286e-01,-9.238767731064458921e-01
5.939573610693202887e+00,-8.577260609293375637e-01,-8.577260481722447372e-01
5.988660995905543238e+00,-7.730081560644339600e-01,-7.730081445673666618e-01
6.037748381117883589e+00,-6.715569590509197218e-01,-6.715569490627504301e-01
6.086835766330223940e+00,-5.555685819286674265e-01,-5.555685736656111873e-01
6.135923151542564291e+00,-4.275538227856431894e-01,-4.275538164265680896e-01
6.185010536754905530e+00,-2.902838145617338550e-01,-2.902838102442991119e-01
6.234097921967245881e+00,-1.467300383892444771e-01,-1.467300362069044184e-01
