U_over_M,schwarzschild,sds_L20,sds_L40,sds_L80,sds_L160,sds_L320,sds_L640,Winf_from_L80,Winf_from_L160
11.477411277759526,-0.14823691032423197,0.06274114538405544,-0.06299121009890293,-0.10982981733980454,-0.1299720546672774,-0.1393253701950096,-0.14383361740213238,-0.14820015029873898,-0.1482295909047596
11.50741127775952,-0.15166354433823498,0.058689315274267705,-0.06686033794471645,-0.11348548902599337,-0.13351273271770445,-0.14280866878913767,-0.14728844332458516,-0.1516261476776227,-0.15165608885985324
11.537411277759514,-0.15505629291618678,0.054637627921649286,-0.07070906783339478,-0.11711313036480858,-0.13702226051090471,-0.14625940908335713,-0.15070999456483722,-0.15501827998874576,-0.15504858750981987
11.567411277759508,-0.1584145811732334,0.05058674813886014,-0.07453675317999107,-0.12071212829471784,-0.14050007501070524,-0.14967701986564919,-0.15409771717761392,-0.15837594571855998,-0.15840656441257384
11.597411277759502,-0.16173783895060773,0.046537348870224426,-0.07834273467989852,-0.1242819088600403,-0.14394559928614,-0.15306091984981482,-0.15745107396621202,-0.16169855731390628,-0.1617295573056491
11.627411277759496,-0.16502551855243677,0.042490111419615034,-0.08212635329072185,-0.12782191243020466,-0.14735824379305537,-0.15641053409451236,-0.16076952762066268,-0.16498557414265713,-0.16501708673042756
11.65741127775949,-0.16827709910071192,0.03844571611975277,-0.08588696731407892,-0.13133156248295547,-0.15073742481780125,-0.15972531084031988,-0.1640525306958098,-0.168236500099569,-0.16826860178078681
11.687411277759484,-0.1714920742542812,0.03440483274138304,-0.08962395802719257,-0.13481025574402725,-0.15408258363369015,-0.16300472428085686,-0.16729953095623917,-0.17145084939624708,-0.17148349519948747
11.717411277759478,-0.17466993434278583,0.03036811988628203,-0.09333671920914136,-0.13825738177691832,-0.15739318988194065,-0.16624826138177543,-0.17050998716060856,-0.17462811117982593,-0.17466117295871883
11.747411277759472,-0.17781015828452054,0.026336233603210548,-0.09702464051822522,-0.1416723542270221,-0.16066872680735736,-0.16945540452827565,-0.1736833816579718,-0.17776774320302768,-0.177801117633826
11.777411277759466,-0.18091222186125894,0.022309836588967194,-0.10068709979886883,-0.1450546265103643,-0.1639086715240166,-0.1726256248869726,-0.17681921933809164,-0.18086919882068184,-0.1809028923023047
11.80741127775946,-0.1839756150249717,0.01828959906551344,-0.10432347096045608,-0.14840367905128454,-0.1671124872253448,-0.17575839182412656,-0.17991701427899773,-0.18393196343074272,-0.18396608350418908
11.837411277759454,-0.18699985369683336,0.014276190617751011,-0.10793314015618724,-0.15171898984646398,-0.17027963361978052,-0.17885319012870152,-0.18297627562100535,-0.18695556971913097,-0.18699023260520473
11.867411277759448,-0.189984476590101,0.010270270817626275,-0.11151551601004529,-0.15500001378956368,-0.1734095864473273,-0.1819095306189425,-0.18599650442620272,-0.18993958001904665,-0.1899748127144313
11.897411277759442,-0.1929290301751679,0.0062724873347420156,-0.11507002530250089,-0.1582461879167972,-0.1765018497341124,-0.18492694567535242,-0.1889772038553623,-0.19288355163831408,-0.19291926884163205
11.927411277759436,-0.1958330544070816,0.002283482984343964,-0.11859609833600178,-0.1614569575198692,-0.1795559509919024,-0.1879049738609339,-0.19191789406626572,-0.19578701415197539,-0.19582308678547497
11.95741127775943,-0.198696080750451,-0.0016960951353324261,-0.12209315686136504,-0.16463180099913413,-0.18257142384074485,-0.19084314648797215,-0.19481811972423257,-0.19864947661948076,-0.19868583423559086
11.987411277759424,-0.20151764377117726,-0.0056655929500190345,-0.1255606148124414,-0.16777023316939316,-0.18554779256804885,-0.1937409869550939,-0.19767744437515514,-0.2014704578006171,-0.2015071419462422
12.017411277759418,-0.2042972967434673,-0.009624355538870637,-0.12899789094468198,-0.17087178503645367,-0.18848457106125846,-0.19659802307366095,-0.20049543660528776,-0.20424951441939684,-0.2042866418205316
12.047411277759412,-0.2070346189102337,-0.013571736404755322,-0.1324044225533553,-0.17393597718034728,-0.19138127662038631,-0.1994138022820491,-0.20327165923464202,-0.20698624523814071,-0.2070239122684093
12.077411277759406,-0.20972920902859957,-0.017507101573282047,-0.13577966893885096,-0.17696230839244803,-0.19423744733081436,-0.20218789773664786,-0.20600567000495773,-0.20968026876691495,-0.20971847365019633
12.1074112777594,-0.21238067069033395,-0.021429825102073176,-0.13912310214391932,-0.17995026824788252,-0.1970526492747569,-0.20491990084417352,-0.20869703295316122,-0.21233119311757634,-0.21236983594500183
12.137411277759394,-0.21498860104716638,-0.025339280308245695,-0.14243419299286014,-0.18289936301023618,-0.19982646829689144,-0.20760940649499066,-0.21134533141280945,-0.2149386017296043,-0.2149775602098077
12.167411277759388,-0.21755259152588924,-0.029234834644312736,-0.14571240399028715,-0.18580913416370504,-0.20255849322278233,-0.2102560026579884,-0.2139501726569367,-0.2175020653636394,-0.2175412861767818
12.197411277759382,-0.2200722396752721,-0.033115852694925764,-0.14895719468404534,-0.1886791553845562,-0.20524830377087294,-0.21285927222969808,-0.21651118093388994,-0.22002117019896775,-0.22006070595460128
12.227411277759376,-0.22254716291055116,-0.036981704565072715,-0.152168034906687,-0.1915090110051576,-0.20789547232964647,-0.21541880542173708,-0.21902798456149533,-0.2224955401337251,-0.22253550543039555
12.25741127775937,-0.22497700384326638,-0.04083177237398624,-0.15534441520637995,-0.19429827316247344,-0.21049957790224136,-0.21793421307552463,-0.22150020701204268,-0.22492483678440744,-0.224965318515145
12.287411277759364,-0.2273614235342695,-0.044665449438056636,-0.1584858463837532,-0.19704649519582973,-0.21306022139808672,-0.22040513094877826,-0.22392746858019447,-0.22730873813251185,-0.22734972811565765
12.317411277759359,-0.22970008807058195,-0.04848213312744654,-0.16159184888785436,-0.19975322587608482,-0.21557703082961474,-0.222831212101259,-0.22630939713595913,-0.22964691256948946,-0.22968831176991125
12.347411277759353,-0.23199265856206994,-0.05228121769061218,-0.16466194069426693,-0.2024180331770646,-0.21804965289249112,-0.22521211340524463,-0.2286456398254483,-0.231939007688025,-0.23198069702153656
12.377411277759347,-0.2342387917813168,-0.05606209315282071,-0.16769563314859914,-0.2050405195735003,-0.2204777375905513,-0.22754748629408617,-0.23093586718097228,-0.23418466146096062,-0.23422658575793753
12.40741127775934,-0.23643815069760657,-0.059824151125322994,-0.17069243779693768,-0.20762031780850485,-0.22286092742551009,-0.2298369784022143,-0.23317976692028672,-0.2363835268243862,-0.236425730791506
